Timestamp,Scan_Type,Object_Detected,Condition_Status
"2026-02-10 00:59:49","VISION_SCAN","IMAGE_ENTITY","Mango: Anthracnose"
"2026-02-10 01:23:22","VISION_SCAN","IMAGE_ENTITY","Citrus Fruit, REASONING: Dark brown, sunken lesions with a slight depression in the center, indicating a fungal infection, possibly Botrytis. TREATMENT: ICAR Protocol for Citrus Post-Botrytis Disease, FERTILIZER: NPK 15-15-15, specific brands like Kumud, Priyanka."
"2026-02-10 01:23:55","VISION_SCAN","IMAGE_ENTITY","Citrus Fruit, REASONING: The fruit exhibits significant discoloration and decay, indicative of a fungal disease, likely Alternaria or Botrytis. TREATMENT: The affected citrus should be discarded immediately. For prevention, apply copper-based fungicides as per the ICAR protocol. FERTILIZER: Use Azadirachtin-based fertilizers like "Biokleen" or "Green Guard," which are known for their disease-resistant properties in citrus plants."
"2026-02-10 01:24:25","VISION_SCAN","IMAGE_ENTITY","Orange"
"2026-02-10 01:42:12","VISION_SCAN","IMAGE_ENTITY","Citrus Fruit, REASONING: The fruit displays significant browning and decay, indicative of a fungal infection, possibly Alternaria or Botrytis. TREATMENT: ICAR protocol for citrus canker (a similar issue) involves fungal suppression and pruning affected areas. FERTILIZER: Specific Indian brands like Divine Green CitriMax and Citri-Life are effective for enhancing citrus health and resistance to such infections."
"2026-02-10 23:36:03","VISION_SCAN","IMAGE_ENTITY","Orange (Citrus), REASONING: The fruit displays dark, sunken lesions with a brownish-black discoloration and a possible infection point, indicative of a fungal disease commonly known as Citrus Black Spot. TREATMENT: Implement a systemic fungicide application using copper-based products, following the guidelines of the ICAR (Indian Council of Agricultural Research) for citrus Management of Citrus Black Spot. FERTILIZER: Opt for a balanced NPK fertilizer, specifically formulated for citrus, such as "Citrus Excel" or "CitrusCare" from Indian brands, to strengthen the plant's defense mechanisms against diseases.**"
"2026-02-10 23:36:50","VISION_SCAN","IMAGE_ENTITY","The crop in the image appears to be an Orange. Upon close inspection, the orange shows signs of Advanced Rot, characterized by the dark, sunken lesions with a fuzzy or powdery surface, which are typical symptoms of decay caused by fungal pathogens."
"2026-02-10 23:54:58","VISION_SCAN","IMAGE_ENTITY","Apple (Fuji)"
"2026-02-10 23:55:42","VISION_SCAN","IMAGE_ENTITY","**Crop Identification: Apple (Fuji)**"
"2026-02-11 00:00:08","VISION_SCAN","IMAGE_ENTITY","**Crop:** Viola (Pansy)"
"2026-02-11 00:00:41","VISION_SCAN","IMAGE_ENTITY","**Crop Identification:** The image depicts a plant with purple flowers, which are characteristic of pansies (Viola)."
"2026-02-11 00:10:10","VISION_SCAN","IMAGE_ENTITY","The image depicts a plant with purple flowers and green leaves, which is not a crop but a flowering plant, likely a Viola (Pansy). Since it is not a crop, a 360-degree botanical audit for crop health is not applicable. However, if we were to analyze it as a flowering plant, here's a breakdown:"
"2026-02-11 00:27:22","VISION_SCAN","IMAGE_ENTITY","**ENTITY:** Leaf"
"2026-02-11 00:42:54","VISION_SCAN","IMAGE_ENTITY","Viola tricolor (Heartsease), HEALTH: 100%, SYMPTOMS: None, PROTOCOL: No specific ICAR protocol required, FERTILIZER: Indian Brand (Benarath, Aryan, or Hemani)."
"2026-02-11 00:43:25","VISION_SCAN","IMAGE_ENTITY","Viola Tricolor (Heartsease), HEALTH: 100%, SYMPTOMS: No visible symptoms, PROTOCOL: No specific ICAR chemical or biological action required for healthy leaves, FERTILIZER: NPK 10:10:10 by Gokul Fertilizers."
"2026-02-11 00:57:49","VISION_SCAN","IMAGE_ENTITY","Purple Viola (Pansy), HEALTH: 0%, SYMPTOMS: Wilting, Yellowing, Browning, PROTOCOL: No specific ICAR or Agricultural University guidelines apply as this is a flowering plant, not a fruit or stem. FERTILIZER: No fertilization required for ornamental plants like Pansies."
"2026-02-11 01:03:53","VISION_SCAN","IMAGE_ENTITY","Viola, HEALTH: 70%, SYMPTOMS: Yellowing, Feathery appearance, PROTOCOL: No specific ICAR protocol, FERTILIZER: Urea, Diammonium Phosphate (DAP)."
"2026-02-11 01:12:47","VISION_SCAN","IMAGE_ENTITY","Seville Orange, HEALTH: 50%, SYMPTOMS: Dark, sunken brown lesions with a dry and crumbly texture, possibly indicating anthracnose or sunscald. PROTOCOL: Apply a copper-based fungicide (e.g., Bordeaux mixture) as per ICAR guidelines. FERTILIZER: Indian brands such as Nitrophoska and Nufarm."
"2026-02-11 01:26:28","VISION_SCAN","IMAGE_ENTITY","Viola Tricolor (Heartsease), HEALTH: 90%, SYMPTOMS:绿叶健康，无明显病斑或黄化，PROTOCOL: No specific ICAR protocol applicable as this is a plant, FERTILIZER: Osmocote Maxi 18-6-12, BSTA, BoreGo."
"2026-02-11 01:26:45","VISION_SCAN","IMAGE_ENTITY","Viola tricolor (Heartsease), HEALTH: 100%, SYMPTOMS: None, PROTOCOL: No specific chemical or biological action required as this is a plant, not a fruit or stem, and the plant is healthy. FERTILIZER: No fertilization details required as the image depicts a plant, not a fruit."
"2026-02-11 01:27:42","VISION_SCAN","IMAGE_ENTITY","Viola cornuta (Heartsease), HEALTH: 90%, SYMPTOMS: No visible signs of disease, PROTOCOL: Follow ICAR guidelines for pest management in ornamental plants, FERTILIZER: Indian brands like Nitrophoska NPK 14-14-14 or Hemani Organic Fertilizer."
"2026-02-11 01:30:04","VISION_SCAN","IMAGE_ENTITY","Viola (Pansy), HEALTH: 85%, SYMPTOMS: [Yellowing edges, wilting], PROTOCOL: [Apply Neem Extract (ICAR)] FERTILIZER: [Neem Azote, Pashupati Neem Compound]"
"2026-02-11 01:33:36","VISION_SCAN","IMAGE_ENTITY","Citrus Variety (Lemon/Orange), HEALTH: 20%, SYMPTOMS: Dark brown, necrotic spots and discoloration, PROTOCOL: Apply ICAR recommended fungicides for citrus diseases, FERTILIZER: Kiran NPK, 10-10-10, 5% S, 0.5% Li, 0.5% Fe, 2% Zn."
"2026-02-11 01:50:16","VISION_SCAN","IMAGE_ENTITY","**ENTITY:** Leaf"
"2026-02-11 02:02:59","VISION_SCAN","IMAGE_ENTITY","Viola (Pansy), HEALTH: 100%, SYMPTOMS: [No visible symptoms], PROTOCOL: [No specific action required as it is a healthy plant], FERTILIZER: [Indian Brands: Vaani Safflower, Gattefossé]."
"2026-02-11 02:16:51","VISION_SCAN","IMAGE_ENTITY","**ENTITY:** Fruit"
"2026-02-11 02:19:00","VISION_SCAN","IMAGE_ENTITY","Citrus Aurantium (Bitter Orange), HEALTH: 20%, SYMPTOMS: Dark brown, dried, and shriveled patches on the fruit's surface, indicating decay, possibly due to bacterial or fungal infection. PROTOCOL: Apply a fungicide as per ICAR guidelines to control the infection. FERTILIZER: Use a balanced NPK fertilizer like Cottage Superphosphate (Indian Brand) to promote overall fruit health and resistance to diseases."
